"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"50","Melbourne City","Central Coast Mariners","Hyundai A-League R10","AAMI Park",7170,"17/18","2017-12-10","10"
"51","Sydney FC","Melbourne City","Hyundai A-League R11","Allianz Stadium",10688,"17/18","2017-12-15","11"
"52","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R11","Central Coast Stadium",7199,"17/18","2017-12-16","11"
"53","Newcastle Jets","Adelaide United","Hyundai A-League R11","McDonald Jones Stadium",8146,"17/18","2017-12-16","11"
"54","Perth Glory","Wellington Phoenix","Hyundai A-League R11","HBF Park",7750,"17/18","2017-12-16","11"
"55","Brisbane Roar","Melbourne Victory","Hyundai A-League R11","Suncorp Stadium",10225,"17/18","2017-12-17","11"
"56","Brisbane Roar","Perth Glory","Hyundai A-League R12","Suncorp Stadium",7031,"17/18","2017-12-21","12"
"57","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R12","McDonald Jones Stadium",9862,"17/18","2017-12-22","12"
"58","Melbourne City","Melbourne Victory","Hyundai A-League R12","AAMI Park",20787,"17/18","2017-12-23","12"
"59","Wellington Phoenix","Sydney FC","Hyundai A-League R12","Westpac Stadium",5432,"17/18","2017-12-23","12"
"60","Adelaide United","Central Coast Mariners","Hyundai A-League R12","Coopers Stadium",10313,"17/18","2017-12-26","12"
"61","Western Sydney Wanderers","Melbourne City","Hyundai A-League R13","ANZ Stadium",11628,"17/18","2018-01-01","13"
"62","Melbourne Victory","Newcastle Jets","Hyundai A-League R13","AAMI Park",15534,"17/18","2017-12-29","13"
"63","Adelaide United","Brisbane Roar","Hyundai A-League R13","Coopers Stadium",9875,"17/18","2017-12-30","13"
"64","Sydney FC","Perth Glory","Hyundai A-League R13","Allianz Stadium",13322,"17/18","2017-12-30","13"
"65","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R13","Central Coast Stadium",9110,"17/18","2017-12-31","13"
"66","Sydney FC","Newcastle Jets","Hyundai A-League R14","Allianz Stadium",18055,"17/18","2018-01-03","14"
"67","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R14","Suncorp Stadium",11189,"17/18","2018-01-05","14"
"68","Melbourne Victory","Central Coast Mariners","Hyundai A-League R14","GMHBA Stadium",8370,"17/18","2018-01-06","14"
"69","Melbourne City","Wellington Phoenix","Hyundai A-League R14","AAMI Park",5207,"17/18","2018-01-06","14"
"70","Perth Glory","Adelaide United","Hyundai A-League R14","HBF Park",9069,"17/18","2018-01-05","14"
"71","Brisbane Roar","Sydney FC","Hyundai A-League R15","Suncorp Stadium",7826,"17/18","2018-01-08","15"
"72","Newcastle Jets","Central Coast Mariners","Hyundai A-League R15","McDonald Jones Stadium",13127,"17/18","2018-01-09","15"
"73","Wellington Phoenix","Melbourne Victory","Hyundai A-League R15","Westpac Stadium",5105,"17/18","2018-01-10","15"
"74","Perth Glory","Melbourne City","Hyundai A-League R15","HBF Park",8016,"17/18","2018-01-09","15"
"75","Western Sydney Wanderers","Adelaide United","Hyundai A-League R15","ANZ Stadium",10771,"17/18","2018-01-10","15"
"76","Newcastle Jets","Brisbane Roar","Hyundai A-League R16","McDonald Jones Stadium",12137,"17/18","2018-01-12","16"
"77","Central Coast Mariners","Melbourne City","Hyundai A-League R16","Central Coast Stadium",6253,"17/18","2018-01-14","16"
"78","Melbourne Victory","Perth Glory","Hyundai A-League R16","AAMI Park",14332,"17/18","2018-01-13","16"
"79","Adelaide United","Sydney FC","Hyundai A-League R16","Coopers Stadium",9959,"17/18","2018-01-14","16"
"80","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R16","Westpac Stadium",5634,"17/18","2018-01-13","16"
"81","Brisbane Roar","Perth Glory","Hyundai A-League R17","Suncorp Stadium",6258,"17/18","2018-01-18","17"
"82","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R17","ANZ Stadium",11864,"17/18","2018-01-19","17"
"83","Newcastle Jets","Wellington Phoenix","Hyundai A-League R17","McDonald Jones Stadium",10877,"17/18","2018-01-20","17"
"84","Sydney FC","Central Coast Mariners","Hyundai A-League R17","Allianz Stadium",13511,"17/18","2018-01-20","17"
"85","Melbourne City","Adelaide United","Hyundai A-League R17","AAMI Park",8103,"17/18","2018-01-21","17"
"86","Melbourne City","Newcastle Jets","Hyundai A-League R18","AAMI Park",7790,"17/18","2018-01-25","18"
"87","Melbourne Victory","Sydney FC","Hyundai A-League R18","AAMI Park",21037,"17/18","2018-01-26","18"
"88","Central Coast Mariners","Brisbane Roar","Hyundai A-League R18","Central Coast Stadium",5264,"17/18","2018-01-27","18"
"89","Wellington Phoenix","Adelaide United","Hyundai A-League R18","Westpac Stadium",6746,"17/18","2018-01-27","18"
"90","Perth Glory","Western Sydney Wanderers","Hyundai A-League R18","HBF Park",9317,"17/18","2018-01-28","18"
"91","Newcastle Jets","Melbourne Victory","Hyundai A-League R19","McDonald Jones Stadium",11473,"17/18","2018-02-03","19"
"92","Adelaide United","Perth Glory","Hyundai A-League R19","Coopers Stadium",7976,"17/18","2018-02-03","19"
"93","Sydney FC","Wellington Phoenix","Hyundai A-League R19","Allianz Stadium",10220,"17/18","2018-02-02","19"
"94","Brisbane Roar","Melbourne City","Hyundai A-League R19","Suncorp Stadium",9150,"17/18","2018-02-04","19"
"95","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R19","Central Coast Stadium",7046,"17/18","2018-02-04","19"
