Round,Date,Home,Away,Score
,15.02. 19:50,Newcastle Jets,Melbourne City,3 : 1
,15.02. 17:35,Wellington Phoenix,Melbourne Victory,1 : 1
Round 18,,,,
,10.02. 17:00,Melbourne Victory,Perth Glory,1 : 2
,09.02. 19:50,Melbourne City,Adelaide United,1 : 1
,09.02. 17:35,WS Wanderers,Central Coast Mariners,2 : 0
,08.02. 19:50,Brisbane Roar,Sydney FC,2 : 1
,07.02. 19:50,Newcastle Jets,Wellington Phoenix,1 : 1
Round 17,,,,
,03.02. 17:00,Sydney FC,Melbourne City,2 : 0
,02.02. 22:00,Perth Glory,Wellington Phoenix,3 : 0
,02.02. 19:50,Adelaide United ,Brisbane Roar ,4 : 3
,02.02. 17:35,Central Coast Mariners,Melbourne Victory,2 : 3
,01.02. 19:50,WS Wanderers,Newcastle Jets,1 : 5
Round 16,,,,
,27.01. 20:00,Perth Glory,Newcastle Jets,2 : 0
,27.01. 18:00,Adelaide United,Central Coast Mariners,2 : 1
,26.01. 19:50,Melbourne Victory,Sydney FC,2 : 1
,26.01. 17:35,Wellington Phoenix,Melbourne City,1 : 0
,25.01. 19:50,Brisbane Roar,WS Wanderers,2 : 2
Round 15,,,,
,23.01. 22:00,Perth Glory,Adelaide United,0 : 0
,23.01. 19:50,Newcastle Jets,Central Coast Mariners,1 : 0
,23.01. 17:35,Wellington Phoenix,Sydney FC,0 : 1
,22.01. 19:50,Melbourne City,WS Wanderers ,4 : 3
Round 14,,,,
,20.01. 19:00,Central Coast Mariners,Brisbane Roar,1 : 1
,20.01. 17:00,Melbourne Victory,Wellington Phoenix,3 : 3
,19.01. 19:50,Melbourne City,Perth Glory,0 : 0
,19.01. 17:35,Sydney FC,Newcastle Jets ,1 : 0
,18.01. 19:50,WS Wanderers,Adelaide United,1 : 2
Round 12,,,,
,16.01. 19:50,Central Coast Mariners,Melbourne City,2 : 1
Round 15,,,,
,15.01. 19:50,Brisbane Roar,Melbourne Victory,0 : 5
Round 13,,,,
,13.01. 20:00,Perth Glory,WS Wanderers,4 : 3
,13.01. 18:00,Sydney FC,Adelaide United,2 : 1
,12.01. 19:50,Melbourne Victory,Newcastle Jets,2 : 1
,12.01. 17:35,Wellington Phoenix,Central Coast Mariners ,3 : 2
,11.01. 19:50,Melbourne City,Brisbane Roar,1 : 0
Round 12,,,,
,09.01. 22:00,Perth Glory,Sydney FC,3 : 1
,09.01. 19:50,Adelaide United,Melbourne Victory,2 : 0
,08.01. 19:50,WS Wanderers,Wellington Phoenix,2 : 3
Round 11,,,,
,06.01. 19:00,Brisbane Roar ,Perth Glory,2 : 4
,06.01. 17:00,Melbourne City,Newcastle Jets ,2 : 1
,05.01. 19:50,WS Wanderers,Melbourne Victory,1 : 2
,05.01. 17:35,Adelaide United,Wellington Phoenix ,0 : 0
,04.01. 19:50,Sydney FC,Central Coast Mariners ,5 : 2
Round 12,,,,
,02.01. 19:50,Newcastle Jets,Brisbane Roar,2 : 2
Round 10,,,,
,01.01. 19:50,WS Wanderers,Melbourne City ,0 : 2
,31.12. 19:00,Central Coast Mariners,Perth Glory,1 : 4
,30.12. 19:30,Newcastle Jets,Adelaide United,1 : 2
,29.12. 19:50,Sydney FC,Brisbane Roar,2 : 1
,28.12. 19:50,Melbourne Victory,Wellington Phoenix,1 : 1
Round 9,,,,
,26.12. 19:50,Adelaide United ,WS Wanderers,2 : 2
,23.12. 17:00,Central Coast Mariners,Newcastle Jets,1 : 2
,22.12. 19:50,Melbourne City,Melbourne Victory,1 : 1
,22.12. 17:35,Wellington Phoenix,Brisbane Roar,4 : 1
,21.12. 21:00,Perth Glory,Sydney FC,1 : 2
Round 8,,,,
,16.12. 19:00,Adelaide United,Melbourne City,0 : 2
,16.12. 17:00,Newcastle Jets,Perth Glory,0 : 2
,15.12. 19:50,WS Wanderers ,Sydney FC,1 : 3
,15.12. 17:35,Wellington Phoenix,Central Coast Mariners,2 : 0
,14.12. 19:50,Brisbane Roar ,Melbourne Victory,2 : 4
Round 7,,,,
,09.12. 17:00,Newcastle Jets,Brisbane Roar,2 : 0
,08.12. 22:00,Perth Glory,Melbourne City ,1 : 0
,08.12. 19:50,Melbourne Victory,Adelaide United,2 : 0
,08.12. 17:35,Sydney FC,Wellington Phoenix,1 : 3
,07.12. 19:50,WS Wanderers,Central Coast Mariners,2 : 0
Round 6,,,,
,02.12. 19:00,Melbourne City,Newcastle Jets,3 : 0
,02.12. 17:00,Wellington Phoenix ,Perth Glory,1 : 1
,01.12. 19:50,Melbourne Victory,WS Wanderers,4 : 0
,01.12. 17:35,Central Coast Mariners,Sydney FC,1 : 2
,30.11. 19:50,Adelaide United ,Brisbane Roar ,2 : 1
Round 5,,,,
,25.11. 19:00,Perth Glory,Central Coast Mariners ,3 : 2
,25.11. 17:00,Sydney FC,Melbourne Victory,1 : 2
