"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4","Season"
"335","
						Perth Glory

						","
						Adelaide United

						","Hyundai A-League R14","HBF Park","9,009","
						Hyundai A-League R14
						HBF Park
					","Hyundai A-League R14","HBF Park","2016-01-09T10:40:00+00:00","
							Attendance
							9,009
						","Attendance","9,009","15/16"
"336","
						Wellington Phoenix

						","
						Brisbane Roar FC

						","Hyundai A-League R14","Westpac Stadium","7,774","
						Hyundai A-League R14
						Westpac Stadium
					","Hyundai A-League R14","Westpac Stadium","2016-01-10T06:00:00+00:00","
							Attendance
							7,774
						","Attendance","7,774","15/16"
"337","
						Melbourne Victory

						","
						Brisbane Roar FC

						","Hyundai A-League R15","AAMI Park","23,207","
						Hyundai A-League R15
						AAMI Park
					","Hyundai A-League R15","AAMI Park","2016-01-15T08:40:00+00:00","
							Attendance
							23,207
						","Attendance","23,207","15/16"
"338","
						Adelaide United

						","
						Central Coast Mariners

						","Hyundai A-League R15","Coopers Stadium","11,125","
						Hyundai A-League R15
						Coopers Stadium
					","Hyundai A-League R15","Coopers Stadium","2016-01-16T06:15:00+00:00","
							Attendance
							11,125
						","Attendance","11,125","15/16"
"339","
						Western Sydney Wanderers FC

						","
						Sydney FC

						","Hyundai A-League R15","Pirtek Stadium","19,627","
						Hyundai A-League R15
						Pirtek Stadium
					","Hyundai A-League R15","Pirtek Stadium","2016-01-16T08:30:00+00:00","
							Attendance
							19,627
						","Attendance","19,627","15/16"
"340","
						Perth Glory

						","
						Melbourne City FC

						","Hyundai A-League R15","HBF Park","7,021","
						Hyundai A-League R15
						HBF Park
					","Hyundai A-League R15","HBF Park","2016-01-16T10:40:00+00:00","
							Attendance
							7,021
						","Attendance","7,021","15/16"
"341","
						Newcastle Jets

						","
						Wellington Phoenix

						","Hyundai A-League R15","McDonald Jones Stadium","7,595","
						Hyundai A-League R15
						McDonald Jones Stadium
					","Hyundai A-League R15","McDonald Jones Stadium","2016-01-17T06:00:00+00:00","
							Attendance
							7,595
						","Attendance","7,595","15/16"
"342","
						Brisbane Roar FC

						","
						Adelaide United

						","Hyundai A-League R16","Suncorp Stadium","12,923","
						Hyundai A-League R16
						Suncorp Stadium
					","Hyundai A-League R16","Suncorp Stadium","2016-01-22T09:00:00+00:00","
							Attendance
							12,923
						","Attendance","12,923","15/16"
"343","
						Central Coast Mariners

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R16","Central Coast Stadium","13,105","
						Hyundai A-League R16
						Central Coast Stadium
					","Hyundai A-League R16","Central Coast Stadium","2016-01-23T08:30:00+00:00","
							Attendance
							13,105
						","Attendance","13,105","15/16"
"344","
						Newcastle Jets

						","
						Perth Glory

						","Hyundai A-League R16","McDonald Jones Stadium","9,403","
						Hyundai A-League R16
						McDonald Jones Stadium
					","Hyundai A-League R16","McDonald Jones Stadium","2016-01-24T06:00:00+00:00","
							Attendance
							9,403
						","Attendance","9,403","15/16"
"345","
						Melbourne City FC

						","
						Wellington Phoenix

						","Hyundai A-League R16","AAMI Park","10,825","
						Hyundai A-League R16
						AAMI Park
					","Hyundai A-League R16","AAMI Park","2016-01-25T08:30:00+00:00","
							Attendance
							10,825
						","Attendance","10,825","15/16"
"346","
						Melbourne Victory

						","
						Sydney FC

						","Hyundai A-League R16","Marvel Stadium","30,493","
						Hyundai A-League R16
						Marvel Stadium
					","Hyundai A-League R16","Marvel Stadium","2016-01-26T08:30:00+00:00","
							Attendance
							30,493
						","Attendance","30,493","15/16"
"347","
						Western Sydney Wanderers FC

						","
						Melbourne City FC

						","Hyundai A-League R17","Pirtek Stadium","14,820","
						Hyundai A-League R17
						Pirtek Stadium
					","Hyundai A-League R17","Pirtek Stadium","2016-01-29T08:40:00+00:00","
							Attendance
							14,820
						","Attendance","14,820","15/16"
"348","
						Wellington Phoenix

						","
						Central Coast Mariners

						","Hyundai A-League R17","AMI Stadium, Christchurch","8,545","
						Hyundai A-League R17
						AMI Stadium, Christchurch
					","Hyundai A-League R17","AMI Stadium, Christchurch","2016-01-30T06:15:00+00:00","
							Attendance
							8,545
						","Attendance","8,545","15/16"
"349","
						Sydney FC

						","
						Brisbane Roar FC

						","Hyundai A-League R17","Allianz Stadium","12,548","
						Hyundai A-League R17
						Allianz Stadium
					","Hyundai A-League R17","Allianz Stadium","2016-01-30T08:30:00+00:00","
							Attendance
							12,548
						","Attendance","12,548","15/16"
"350","
						Perth Glory

						","
						Melbourne Victory

						","Hyundai A-League R17","HBF Park","10,501","
						Hyundai A-League R17
						HBF Park
					","Hyundai A-League R17","HBF Park","2016-01-30T10:40:00+00:00","
							Attendance
							10,501
						","Attendance","10,501","15/16"
"351","
						Adelaide United

						","
						Newcastle Jets

						","Hyundai A-League R17","Coopers Stadium","12,434","
						Hyundai A-League R17
						Coopers Stadium
					","Hyundai A-League R17","Coopers Stadium","2016-01-31T06:00:00+00:00","
							Attendance
							12,434
						","Attendance","12,434","15/16"
"352","
						Adelaide United

						","
						Sydney FC

						","Hyundai A-League R18","Coopers Stadium","11,785","
						Hyundai A-League R18
						Coopers Stadium
					","Hyundai A-League R18","Coopers Stadium","2016-02-05T08:40:00+00:00","
							Attendance
							11,785
						","Attendance","11,785","15/16"
"353","
						Brisbane Roar FC

						","
						Central Coast Mariners

						","Hyundai A-League R18","Suncorp Stadium","11,788","
						Hyundai A-League R18
						Suncorp Stadium
					","Hyundai A-League R18","Suncorp Stadium","2016-02-06T06:15:00+00:00","
							Attendance
							11,788
						","Attendance","11,788","15/16"
"354","
						Melbourne Victory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R18","Marvel Stadium","25,445","
						Hyundai A-League R18
						Marvel Stadium
					","Hyundai A-League R18","Marvel Stadium","2016-02-06T08:30:00+00:00","
							Attendance
							25,445
						","Attendance","25,445","15/16"
"355","
						Wellington Phoenix

						","
						Perth Glory

						","Hyundai A-League R18","Westpac Stadium","7,135","
						Hyundai A-League R18
						Westpac Stadium
					","Hyundai A-League R18","Westpac Stadium","2016-02-07T04:00:00+00:00","
							Attendance
							7,135
						","Attendance","7,135","15/16"
"356","
						Newcastle Jets

						","
						Melbourne City FC

						","Hyundai A-League R18","McDonald Jones Stadium","7,266","
						Hyundai A-League R18
						McDonald Jones Stadium
					","Hyundai A-League R18","McDonald Jones Stadium","2016-02-07T06:00:00+00:00","
							Attendance
							7,266
						","Attendance","7,266","15/16"
"357","
						Brisbane Roar FC

						","
						Newcastle Jets

						","Hyundai A-League R19","Suncorp Stadium","9,382","
						Hyundai A-League R19
						Suncorp Stadium
					","Hyundai A-League R19","Suncorp Stadium","2016-02-12T09:00:00+00:00","
							Attendance
							9,382
						","Attendance","9,382","15/16"
"358","
						Sydney FC

						","
						Perth Glory

						","Hyundai A-League R19","Allianz Stadium","11,559","
						Hyundai A-League R19
						Allianz Stadium
					","Hyundai A-League R19","Allianz Stadium","2016-02-13T06:15:00+00:00","
							Attendance
							11,559
						","Attendance","11,559","15/16"
"359","
						Melbourne City FC

						","
						Melbourne Victory

						","Hyundai A-League R19","AAMI Park","25,738","
						Hyundai A-League R19
						AAMI Park
					","Hyundai A-League R19","AAMI Park","2016-02-13T08:30:00+00:00","
							Attendance
							25,738
						","Attendance","25,738","15/16"
"360","
						Central Coast Mariners

						","
						Adelaide United

						","Hyundai A-League R19","Central Coast Stadium","5,096","
						Hyundai A-League R19
						Central Coast Stadium
					","Hyundai A-League R19","Central Coast Stadium","2016-02-14T08:00:00+00:00","
							Attendance
							5,096
						","Attendance","5,096","15/16"
"361","
						Western Sydney Wanderers FC

						","
						Wellington Phoenix

						","Hyundai A-League R19","Pirtek Stadium","12,589","
						Hyundai A-League R19
						Pirtek Stadium
					","Hyundai A-League R19","Pirtek Stadium","2016-02-14T06:00:00+00:00","
							Attendance
							12,589
						","Attendance","12,589","15/16"
"362","
						Melbourne Victory

						","
						Adelaide United

						","Hyundai A-League R20","AAMI Park","18,924","
						Hyundai A-League R20
						AAMI Park
					","Hyundai A-League R20","AAMI Park","2016-02-19T08:40:00+00:00","
							Attendance
							18,924
						","Attendance","18,924","15/16"
"363","
						Newcastle Jets

						","
						Wellington Phoenix

						","Hyundai A-League R20","McDonald Jones Stadium","7,120","
						Hyundai A-League R20
						McDonald Jones Stadium
					","Hyundai A-League R20","McDonald Jones Stadium","2016-02-20T06:15:00+00:00","
							Attendance
							7,120
						","Attendance","7,120","15/16"
"364","
						Sydney FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R20","Allianz Stadium","40,382","
						Hyundai A-League R20
						Allianz Stadium
					","Hyundai A-League R20","Allianz Stadium","2016-02-20T08:30:00+00:00","
							Attendance
							40,382
						","Attendance","40,382","15/16"
"365","
						Perth Glory

						","
						Brisbane Roar FC

						","Hyundai A-League R20","HBF Park","12,156","
						Hyundai A-League R20
						HBF Park
					","Hyundai A-League R20","HBF Park","2016-02-20T10:40:00+00:00","
							Attendance
							12,156
						","Attendance","12,156","15/16"
"366","
						Melbourne City FC

						","
						Central Coast Mariners

						","Hyundai A-League R20","AAMI Park","7,535","
						Hyundai A-League R20
						AAMI Park
					","Hyundai A-League R20","AAMI Park","2016-02-21T06:00:00+00:00","
							Attendance
							7,535
						","Attendance","7,535","15/16"
"367","
						Wellington Phoenix

						","
						Melbourne City FC

						","Hyundai A-League R21","Westpac Stadium","6,591","
						Hyundai A-League R21
						Westpac Stadium
					","Hyundai A-League R21","Westpac Stadium","2016-02-26T06:30:00+00:00","
							Attendance
							6,591
						","Attendance","6,591","15/16"
"368","
						Western Sydney Wanderers FC

						","
						Perth Glory

						","Hyundai A-League R21","Pirtek Stadium","12,639","
						Hyundai A-League R21
						Pirtek Stadium
					","Hyundai A-League R21","Pirtek Stadium","2016-02-26T08:40:00+00:00","
							Attendance
							12,639
						","Attendance","12,639","15/16"
"369","
						Adelaide United

						","
						Brisbane Roar FC

						","Hyundai A-League R21","Coopers Stadium","12,712","
						Hyundai A-League R21
						Coopers Stadium
					","Hyundai A-League R21","Coopers Stadium","2016-02-27T06:15:00+00:00","
							Attendance
							12,712
						","Attendance","12,712","15/16"
"370","
						Melbourne Victory

						","
						Sydney FC

						","Hyundai A-League R21","AAMI Park","20,112","
						Hyundai A-League R21
						AAMI Park
					","Hyundai A-League R21","AAMI Park","2016-02-27T08:30:00+00:00","
							Attendance
							20,112
						","Attendance","20,112","15/16"
"371","
						Central Coast Mariners

						","
						Newcastle Jets

						","Hyundai A-League R21","Central Coast Stadium","7,528","
						Hyundai A-League R21
						Central Coast Stadium
					","Hyundai A-League R21","Central Coast Stadium","2016-02-28T06:00:00+00:00","
							Attendance
							7,528
						","Attendance","7,528","15/16"
"372","
						Brisbane Roar FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R22","Suncorp Stadium","13,157","
						Hyundai A-League R22
						Suncorp Stadium
					","Hyundai A-League R22","Suncorp Stadium","2016-03-04T09:00:00+00:00","
							Attendance
							13,157
						","Attendance","13,157","15/16"
"373","
						Wellington Phoenix

						","
						Adelaide United

						","Hyundai A-League R22","Westpac Stadium","6,595","
						Hyundai A-League R22
						Westpac Stadium
					","Hyundai A-League R22","Westpac Stadium","2016-03-05T06:15:00+00:00","
							Attendance
							6,595
						","Attendance","6,595","15/16"
"374","
						Melbourne City FC

						","
						Sydney FC

						","Hyundai A-League R22","AAMI Park","8,585","
						Hyundai A-League R22
						AAMI Park
					","Hyundai A-League R22","AAMI Park","2016-03-05T08:30:00+00:00","
							Attendance
							8,585
						","Attendance","8,585","15/16"
"375","
						Central Coast Mariners

						","
						Melbourne Victory

						","Hyundai A-League R22","Central Coast Stadium","5,032","
						Hyundai A-League R22
						Central Coast Stadium
					","Hyundai A-League R22","Central Coast Stadium","2016-03-06T06:00:00+00:00","
							Attendance
							5,032
						","Attendance","5,032","15/16"
"376","
						Perth Glory

						","
						Newcastle Jets

						","Hyundai A-League R22","HBF Park","11,260","
						Hyundai A-League R22
						HBF Park
					","Hyundai A-League R22","HBF Park","2016-03-07T09:00:00+00:00","
							Attendance
							11,260
						","Attendance","11,260","15/16"
"377","
						Adelaide United

						","
						Melbourne City FC

						","Hyundai A-League R23","Coopers Stadium","14,274","
						Hyundai A-League R23
						Coopers Stadium
					","Hyundai A-League R23","Coopers Stadium","2016-03-11T08:40:00+00:00","
							Attendance
							14,274
						","Attendance","14,274","15/16"
"378","
						Sydney FC

						","
						Wellington Phoenix

						","Hyundai A-League R23","Allianz Stadium","10,235","
						Hyundai A-League R23
						Allianz Stadium
					","Hyundai A-League R23","Allianz Stadium","2016-03-12T06:15:00+00:00","
							Attendance
							10,235
						","Attendance","10,235","15/16"
"379","
						Brisbane Roar FC

						","
						Melbourne Victory

						","Hyundai A-League R23","Suncorp Stadium","15,892","
						Hyundai A-League R23
						Suncorp Stadium
					","Hyundai A-League R23","Suncorp Stadium","2016-03-12T08:30:00+00:00","
							Attendance
							15,892
						","Attendance","15,892","15/16"
"380","
						Perth Glory

						","
						Central Coast Mariners

						","Hyundai A-League R23","HBF Park","11,127","
						Hyundai A-League R23
						HBF Park
					","Hyundai A-League R23","HBF Park","2016-03-12T10:40:00+00:00","
							Attendance
							11,127
						","Attendance","11,127","15/16"
"381","
						Newcastle Jets

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R23","McDonald Jones Stadium","12,153","
						Hyundai A-League R23
						McDonald Jones Stadium
					","Hyundai A-League R23","McDonald Jones Stadium","2016-03-13T06:00:00+00:00","
							Attendance
							12,153
						","Attendance","12,153","15/16"
"382","
						Melbourne City FC

						","
						Brisbane Roar FC

						","Hyundai A-League R24","AAMI Park","7,658","
						Hyundai A-League R24
						AAMI Park
					","Hyundai A-League R24","AAMI Park","2016-03-18T08:40:00+00:00","
							Attendance
							7,658
						","Attendance","7,658","15/16"
"383","
						Central Coast Mariners

						","
						Sydney FC

						","Hyundai A-League R24","Central Coast Stadium","6,383","
						Hyundai A-League R24
						Central Coast Stadium
					","Hyundai A-League R24","Central Coast Stadium","2016-03-19T06:15:00+00:00","
							Attendance
							6,383
						","Attendance","6,383","15/16"
"384","
						Western Sydney Wanderers FC

						","
						Adelaide United

						","Hyundai A-League R24","Pirtek Stadium","15,208","
						Hyundai A-League R24
						Pirtek Stadium
					","Hyundai A-League R24","Pirtek Stadium","2016-03-19T08:30:00+00:00","
							Attendance
							15,208
						","Attendance","15,208","15/16"
"385","
						Wellington Phoenix

						","
						Perth Glory

						","Hyundai A-League R24","Westpac Stadium","5,844","
						Hyundai A-League R24
						Westpac Stadium
					","Hyundai A-League R24","Westpac Stadium","2016-03-20T04:00:00+00:00","
							Attendance
							5,844
						","Attendance","5,844","15/16"
"386","
						Melbourne Victory

						","
						Newcastle Jets

						","Hyundai A-League R24","AAMI Park","14,383","
						Hyundai A-League R24
						AAMI Park
					","Hyundai A-League R24","AAMI Park","2016-03-20T06:00:00+00:00","
							Attendance
							14,383
						","Attendance","14,383","15/16"
"387","
						Melbourne Victory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R25","AAMI Park","20,097","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2016-03-25T08:40:00+00:00","
							Attendance
							20,097
						","Attendance","20,097","15/16"
"388","
						Newcastle Jets

						","
						Perth Glory

						","Hyundai A-League R25","McDonald Jones Stadium","7,569","
						Hyundai A-League R25
						McDonald Jones Stadium
					","Hyundai A-League R25","McDonald Jones Stadium","2016-03-26T06:15:00+00:00","
							Attendance
							7,569
						","Attendance","7,569","15/16"
"389","
						Brisbane Roar FC

						","
						Sydney FC

						","Hyundai A-League R25","Suncorp Stadium","14,897","
						Hyundai A-League R25
						Suncorp Stadium
					","Hyundai A-League R25","Suncorp Stadium","2016-03-26T08:30:00+00:00","
							Attendance
							14,897
						","Attendance","14,897","15/16"
"390","
						Adelaide United

						","
						Central Coast Mariners

						","Hyundai A-League R25","Coopers Stadium","10,269","
						Hyundai A-League R25
						Coopers Stadium
					","Hyundai A-League R25","Coopers Stadium","2016-03-27T06:00:00+00:00","
							Attendance
							10,269
						","Attendance","10,269","15/16"
"391","
						Melbourne City FC

						","
						Wellington Phoenix

						","Hyundai A-League R25","AAMI Park","9,895","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2016-03-28T08:30:00+00:00","
							Attendance
							9,895
						","Attendance","9,895","15/16"
"392","
						Western Sydney Wanderers FC

						","
						Central Coast Mariners

						","Hyundai A-League R26","Pirtek Stadium","14,855","
						Hyundai A-League R26
						Pirtek Stadium
					","Hyundai A-League R26","Pirtek Stadium","2016-04-01T08:40:00+00:00","
							Attendance
							14,855
						","Attendance","14,855","15/16"
"393","
						Wellington Phoenix

						","
						Melbourne Victory

						","Hyundai A-League R26","Westpac Stadium","5,103","
						Hyundai A-League R26
						Westpac Stadium
					","Hyundai A-League R26","Westpac Stadium","2016-04-02T06:15:00+00:00","
							Attendance
							5,103
						","Attendance","5,103","15/16"
"394","
						Sydney FC

						","
						Adelaide United

						","Hyundai A-League R26","Allianz Stadium","8,981","
						Hyundai A-League R26
						Allianz Stadium
					","Hyundai A-League R26","Allianz Stadium","2016-04-02T08:30:00+00:00","
							Attendance
							8,981
						","Attendance","8,981","15/16"
"395","
						Brisbane Roar FC

						","
						Newcastle Jets

						","Hyundai A-League R26","Suncorp Stadium","14,825","
						Hyundai A-League R26
						Suncorp Stadium
					","Hyundai A-League R26","Suncorp Stadium","2016-04-03T07:00:00+00:00","
							Attendance
							14,825
						","Attendance","14,825","15/16"
"396","
						Perth Glory

						","
						Melbourne City FC

						","Hyundai A-League R26","HBF Park","14,504","
						Hyundai A-League R26
						HBF Park
					","Hyundai A-League R26","HBF Park","2016-04-03T09:00:00+00:00","
							Attendance
							14,504
						","Attendance","14,504","15/16"
"397","
						Melbourne City FC

						","
						Adelaide United

						","Hyundai A-League R27","AAMI Park","11,454","
						Hyundai A-League R27
						AAMI Park
					","Hyundai A-League R27","AAMI Park","2016-04-08T09:40:00+00:00","
							Attendance
							11,454
						","Attendance","11,454","15/16"
"398","
						Central Coast Mariners

						","
						Newcastle Jets

						","Hyundai A-League R27","Central Coast Stadium","7,355","
						Hyundai A-League R27
						Central Coast Stadium
					","Hyundai A-League R27","Central Coast Stadium","2016-04-09T07:15:00+00:00","
							Attendance
							7,355
						","Attendance","7,355","15/16"
"399","
						Melbourne Victory

						","
						Brisbane Roar FC

						","Hyundai A-League R27","AAMI Park","20,012","
						Hyundai A-League R27
						AAMI Park
					","Hyundai A-League R27","AAMI Park","2016-04-09T09:30:00+00:00","
							Attendance
							20,012
						","Attendance","20,012","15/16"
"400","
						Wellington Phoenix

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R27","Westpac Stadium","10,143","
						Hyundai A-League R27
						Westpac Stadium
					","Hyundai A-League R27","Westpac Stadium","2016-04-10T05:00:00+00:00","
							Attendance
							10,143
						","Attendance","10,143","15/16"
"401","
						Sydney FC

						","
						Perth Glory

						","Hyundai A-League R27","Allianz Stadium","8,717","
						Hyundai A-League R27
						Allianz Stadium
					","Hyundai A-League R27","Allianz Stadium","2016-04-10T07:00:00+00:00","
							Attendance
							8,717
						","Attendance","8,717","15/16"
"402","
						Melbourne Victory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R1","Marvel Stadium","30,083","
						Hyundai A-League R1
						Marvel Stadium
					","Hyundai A-League R1","Marvel Stadium","2014-10-10T08:40:00+00:00","
							Attendance
							30,083
						","Attendance","30,083","14/15"
"403","
						Central Coast Mariners

						","
						Newcastle Jets

						","Hyundai A-League R1","Central Coast Stadium","10,443","
						Hyundai A-League R1
						Central Coast Stadium
					","Hyundai A-League R1","Central Coast Stadium","2014-10-11T06:00:00+00:00","
							Attendance
							10,443
						","Attendance","10,443","14/15"
"404","
						Sydney FC

						","
						Melbourne City FC

						","Hyundai A-League R1","Allianz Stadium","25,525","
						Hyundai A-League R1
						Allianz Stadium
					","Hyundai A-League R1","Allianz Stadium","2014-10-11T08:30:00+00:00","
							Attendance
							25,525
						","Attendance","25,525","14/15"
"405","
						Wellington Phoenix

						","
						Perth Glory

						","Hyundai A-League R1","Westpac Stadium","7,767","
						Hyundai A-League R1
						Westpac Stadium
					","Hyundai A-League R1","Westpac Stadium","2014-10-12T04:00:00+00:00","
							Attendance
							7,767
						","Attendance","7,767","14/15"
"406","
						Brisbane Roar FC

						","
						Adelaide United

						","Hyundai A-League R1","Suncorp Stadium","16,195","
						Hyundai A-League R1
						Suncorp Stadium
					","Hyundai A-League R1","Suncorp Stadium","2014-10-12T06:00:00+00:00","
							Attendance
							16,195
						","Attendance","16,195","14/15"
"407","
						Adelaide United

						","
						Melbourne Victory

						","Hyundai A-League R2","Adelaide Oval","33,126","
						Hyundai A-League R2
						Adelaide Oval
					","Hyundai A-League R2","Adelaide Oval","2014-10-17T08:40:00+00:00","
							Attendance
							33,126
						","Attendance","33,126","14/15"
"408","
						Central Coast Mariners

						","
						Wellington Phoenix

						","Hyundai A-League R2","Central Coast Stadium","7,237","
						Hyundai A-League R2
						Central Coast Stadium
					","Hyundai A-League R2","Central Coast Stadium","2014-10-18T06:00:00+00:00","
							Attendance
							7,237
						","Attendance","7,237","14/15"
"409","
						Sydney FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R2","Allianz Stadium","41,213","
						Hyundai A-League R2
						Allianz Stadium
					","Hyundai A-League R2","Allianz Stadium","2014-10-18T08:30:00+00:00","
							Attendance
							41,213
						","Attendance","41,213","14/15"
"410","
						Melbourne City FC

						","
						Newcastle Jets

						","Hyundai A-League R2","AAMI Park","15,717","
						Hyundai A-League R2
						AAMI Park
					","Hyundai A-League R2","AAMI Park","2014-10-19T04:00:00+00:00","
							Attendance
							15,717
						","Attendance","15,717","14/15"
"411","
						Perth Glory

						","
						Brisbane Roar FC

						","Hyundai A-League R2","HBF Park","8,789","
						Hyundai A-League R2
						HBF Park
					","Hyundai A-League R2","HBF Park","2014-10-19T06:00:00+00:00","
							Attendance
							8,789
						","Attendance","8,789","14/15"
"412","
						Brisbane Roar FC

						","
						Sydney FC

						","Hyundai A-League R3","Suncorp Stadium","14,141","
						Hyundai A-League R3
						Suncorp Stadium
					","Hyundai A-League R3","Suncorp Stadium","2014-10-24T09:00:00+00:00","
							Attendance
							14,141
						","Attendance","14,141","14/15"
"413","
						Western Sydney Wanderers FC

						","
						Central Coast Mariners

						","Hyundai A-League R3","Pirtek Stadium","14,691","
						Hyundai A-League R3
						Pirtek Stadium
					","Hyundai A-League R3","Pirtek Stadium","2014-11-19T08:30:00+00:00","
							Attendance
							14,691
						","Attendance","14,691","14/15"
"414","
						Melbourne Victory

						","
						Melbourne City FC

						","Hyundai A-League R3","Marvel Stadium","43,729","
						Hyundai A-League R3
						Marvel Stadium
					","Hyundai A-League R3","Marvel Stadium","2014-10-25T08:45:00+00:00","
							Attendance
							43,729
						","Attendance","43,729","14/15"
"415","
						Wellington Phoenix

						","
						Newcastle Jets

						","Hyundai A-League R3","Westpac Stadium","7,802","
						Hyundai A-League R3
						Westpac Stadium
					","Hyundai A-League R3","Westpac Stadium","2014-10-26T04:00:00+00:00","
							Attendance
							7,802
						","Attendance","7,802","14/15"
"416","
						Adelaide United

						","
						Perth Glory

						","Hyundai A-League R3","Coopers Stadium","11,473","
						Hyundai A-League R3
						Coopers Stadium
					","Hyundai A-League R3","Coopers Stadium","2014-10-26T06:00:00+00:00","
							Attendance
							11,473
						","Attendance","11,473","14/15"
"417","
						Melbourne City FC

						","
						Adelaide United

						","Hyundai A-League R4","AAMI Park","13,083","
						Hyundai A-League R4
						AAMI Park
					","Hyundai A-League R4","AAMI Park","2014-10-31T08:40:00+00:00","
							Attendance
							13,083
						","Attendance","13,083","14/15"
"418","
						Perth Glory

						","
						Newcastle Jets

						","Hyundai A-League R4","HBF Park","8,624","
						Hyundai A-League R4
						HBF Park
					","Hyundai A-League R4","HBF Park","2014-11-01T08:30:00+00:00","
							Attendance
							8,624
						","Attendance","8,624","14/15"
"419","
						Western Sydney Wanderers FC

						","
						Brisbane Roar FC

						","Hyundai A-League R4","Pirtek Stadium","10,252","
						Hyundai A-League R4
						Pirtek Stadium
					","Hyundai A-League R4","Pirtek Stadium","2014-12-03T08:30:00+00:00","
							Attendance
							10,252
						","Attendance","10,252","14/15"
"420","
						Sydney FC

						","
						Central Coast Mariners

						","Hyundai A-League R4","Allianz Stadium","17,761","
						Hyundai A-League R4
						Allianz Stadium
					","Hyundai A-League R4","Allianz Stadium","2014-11-02T06:00:00+00:00","
							Attendance
							17,761
						","Attendance","17,761","14/15"
"421","
						Melbourne Victory

						","
						Wellington Phoenix

						","Hyundai A-League R4","AAMI Park","23,827","
						Hyundai A-League R4
						AAMI Park
					","Hyundai A-League R4","AAMI Park","2014-11-03T08:30:00+00:00","
							Attendance
							23,827
						","Attendance","23,827","14/15"
"422","
						Wellington Phoenix

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R5","Westpac Stadium","7,008","
						Hyundai A-League R5
						Westpac Stadium
					","Hyundai A-League R5","Westpac Stadium","2014-11-07T06:30:00+00:00","
							Attendance
							7,008
						","Attendance","7,008","14/15"
"423","
						Adelaide United

						","
						Sydney FC

						","Hyundai A-League R5","Coopers Stadium","16,015","
						Hyundai A-League R5
						Coopers Stadium
					","Hyundai A-League R5","Coopers Stadium","2014-11-07T08:45:00+00:00","
							Attendance
							16,015
						","Attendance","16,015","14/15"
"424","
						Newcastle Jets

						","
						Melbourne Victory

						","Hyundai A-League R5","McDonald Jones Stadium","11,884","
						Hyundai A-League R5
						McDonald Jones Stadium
					","Hyundai A-League R5","McDonald Jones Stadium","2014-11-08T06:00:00+00:00","
							Attendance
							11,884
						","Attendance","11,884","14/15"
"425","
						Brisbane Roar FC

						","
						Melbourne City FC

						","Hyundai A-League R5","Suncorp Stadium","17,131","
						Hyundai A-League R5
						Suncorp Stadium
					","Hyundai A-League R5","Suncorp Stadium","2014-11-08T08:30:00+00:00","
							Attendance
							17,131
						","Attendance","17,131","14/15"
"426","
						Central Coast Mariners

						","
						Perth Glory

						","Hyundai A-League R5","Central Coast Stadium","6,399","
						Hyundai A-League R5
						Central Coast Stadium
					","Hyundai A-League R5","Central Coast Stadium","2014-11-09T06:00:00+00:00","
							Attendance
							6,399
						","Attendance","6,399","14/15"
"427","
						Newcastle Jets

						","
						Brisbane Roar FC

						","Hyundai A-League R6","McDonald Jones Stadium","10,216","
						Hyundai A-League R6
						McDonald Jones Stadium
					","Hyundai A-League R6","McDonald Jones Stadium","2014-11-14T08:40:00+00:00","
							Attendance
							10,216
						","Attendance","10,216","14/15"
"428","
						Adelaide United

						","
						Wellington Phoenix

						","Hyundai A-League R6","Coopers Stadium","9,726","
						Hyundai A-League R6
						Coopers Stadium
					","Hyundai A-League R6","Coopers Stadium","2014-11-15T06:00:00+00:00","
							Attendance
							9,726
						","Attendance","9,726","14/15"
"429","
						Sydney FC

						","
						Melbourne Victory

						","Hyundai A-League R6","Allianz Stadium","21,242","
						Hyundai A-League R6
						Allianz Stadium
					","Hyundai A-League R6","Allianz Stadium","2014-11-15T08:30:00+00:00","
							Attendance
							21,242
						","Attendance","21,242","14/15"
"430","
						Perth Glory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R6","HBF Park","12,166","
						Hyundai A-League R6
						HBF Park
					","Hyundai A-League R6","HBF Park","2014-11-15T10:45:00+00:00","
							Attendance
							12,166
						","Attendance","12,166","14/15"
"431","
						Melbourne City FC

						","
						Central Coast Mariners

						","Hyundai A-League R6","AAMI Park","9,402","
						Hyundai A-League R6
						AAMI Park
					","Hyundai A-League R6","AAMI Park","2014-11-16T06:00:00+00:00","
							Attendance
							9,402
						","Attendance","9,402","14/15"
