"","V1","V2","""https://www.a-league.com.au/match/id/""","URL"
"107","928048","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928048"
"108","928049","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928049"
"109","928050","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928050"
"110","928051","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928051"
"111","928052","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928052"
"112","928053","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928053"
"113","928054","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928054"
"114","928055","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928055"
"115","928056","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928056"
"116","928057","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928057"
"117","928058","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928058"
"118","928059","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928059"
"119","928060","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928060"
"120","928061","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928061"
"121","928062","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928062"
"122","928063","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928063"
"123","928064","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928064"
"124","928065","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928065"
"125","928066","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928066"
"126","928067","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928067"
"127","928068","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928068"
"128","928069","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928069"
"129","928070","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928070"
"130","928071","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928071"
"131","928072","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928072"
"132","928073","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928073"
"133","928074","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928074"
"134","928075","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928075"
"135","928076","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928076"
"136","854325","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854325"
"137","854326","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854326"
"138","854327","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854327"
"139","854328","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854328"
"140","854329","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854329"
"141","854330","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854330"
"142","854331","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854331"
"143","854332","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854332"
"144","854333","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854333"
"145","854334","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854334"
"146","854335","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854335"
"147","854336","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854336"
"148","854337","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854337"
"149","854338","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854338"
"150","854339","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854339"
"151","854340","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854340"
"152","854341","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854341"
"153","854342","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854342"
"154","854343","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854343"
"155","854344","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854344"
"156","854345","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854345"
"157","854346","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854346"
"158","854347","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854347"
"159","854348","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854348"
"160","854349","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854349"
"161","854350","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854350"
"162","854351","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854351"
"163","854352","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854352"
"164","854353","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854353"
"165","854354","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854354"
"166","854355","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854355"
"167","854356","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854356"
"168","854357","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854357"
"169","854358","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854358"
"170","854359","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854359"
"171","854360","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854360"
"172","854361","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854361"
"173","854362","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854362"
"174","854363","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854363"
"175","854364","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854364"
"176","854365","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854365"
"177","854366","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854366"
"178","854367","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854367"
"179","854368","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854368"
"180","854369","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854369"
"181","854370","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854370"
"182","854371","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854371"
"183","854372","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854372"
"184","854373","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854373"
"185","854374","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854374"
"186","854375","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854375"
"187","854376","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854376"
"188","854377","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854377"
"189","854378","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854378"
"190","854379","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854379"
"191","854380","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854380"
"192","854381","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854381"
"193","854382","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854382"
"194","854383","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854383"
"195","854384","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854384"
"196","854385","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854385"
"197","854386","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854386"
"198","854387","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854387"
"199","854388","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854388"
"200","854389","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854389"
"201","854390","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854390"
"202","854391","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854391"
"203","854392","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854392"
"204","854393","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854393"
"205","854394","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854394"
"206","854395","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854395"
"207","854396","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854396"
"208","854397","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854397"
"209","854398","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854398"
"210","854399","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854399"
"211","854400","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854400"
"212","854401","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854401"
"213","854402","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854402"
"214","854403","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854403"
"215","854404","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854404"
"216","854405","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854405"
"217","854406","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854406"
"218","854407","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854407"
"219","854408","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854408"
"220","854409","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854409"
"221","854410","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854410"
"222","854411","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854411"
"223","854412","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854412"
"224","854413","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854413"
"225","854414","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854414"
"226","854415","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854415"
"227","854416","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854416"
"228","854417","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854417"
"229","854418","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854418"
"230","854419","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854419"
"231","854420","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854420"
"232","854421","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854421"
"233","854422","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854422"
"234","854423","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854423"
"235","854424","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854424"
"236","854425","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854425"
"237","854426","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854426"
"238","854427","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854427"
"239","854428","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854428"
"240","854429","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854429"
"241","854430","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854430"
"242","854431","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854431"
"243","854432","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854432"
"244","854433","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854433"
"245","854434","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854434"
"246","854435","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854435"
"247","854436","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854436"
"248","854437","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854437"
"249","854438","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854438"
"250","854439","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854439"
"251","854440","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854440"
"252","854441","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854441"
